"Buchungsnummer","Lieferantenname","Nummer","Kontakt","Abteilung 1","Abteilung 2","Telefon","Rabatt","Fax","E-Mail","Steuernummer","Straße","PLZ","Stadt","Zahlungsbedingungen","Steuersatz","Rechnung","Lieferantenauftrag","Anfrage","Land","GLN","Erfassungsdatum","USt-IdNr.","Mailing an IT-Firmen","Newsletter","Adresse woher?"
"23277","LCD Kings","33","","","","","0.00","","","","","","","","Inland","","","","Grossbritannien","","03.03.2016","","","",""
"","","","","","","","","","","","","","","","","","528904469027","","","","","","","",""
"383708","Lebrument GmbH","125","","","","","0.00","","","","","","","","Inland","","","","","","05.06.2023","","Nein","Ja",""
"29838","Leetomi","1445","","","","","0.00","","","","","","","","Inland","1327863475003","","","","","10.03.2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"59707","Leuenberger Hans","2381","","","","071 911 37 77, 079 400 21 81","0.00","","haleu42@talent.ch","","Bahnhofstrasse 22","9553","Bettwiesen","","Inland","","","","","","31.08.2019","","Nein","Ja",""
"27431","Levin Mosi","1366","","","","","0.00","","mosi.levin@revamp-it.ch","","","","","","Inland","Oskar18122019","","","","","18.11.2016","","","",""
"","","","","","","","","","","","","","","","","Oskar06022020","","","","","","","","",""
"","","","","","","","","","","","","","","","","ML1","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Oskar18122019","","","","","","","",""
"19296","Lieferant A","22","","","","","0.00","","","","Neue Strasse 17","5000","Aaruu","","Inland","","","","CH","","14.08.2015","","","",""
"","","","","","","","","","","","","","","","","","","3","","","","","","",""
"383662","Lieferwagen Rental GmbH","122","","","","","0.00","","","","Luchswiesenstr. 220","8051","Zürich","","Inland","","","","","","05.06.2023","","Nein","Ja",""
"31876","Lx-System","1516","Holger Lindemann","","","0731 / 602 81 19","0.00","","hli@lx-system.de","","Ensinger Strasse 19","89073","Ulm","","Inland","","","","D","","15.08.2017","","","",""
"48844","Maier Hansjörg","2110","","","","032 341 04 11 , 078 737 00 27","0.00","","hansjoergmaier@bluewin.ch","","Dählenweg 49","2501","Biel","","Inland","Q2018001","","","","","10.11.2018","","Nein","Ja",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"17303","MarkIT Gmbh","1010","","","","","0.00","","","","Seestrasse 176","8806","Bäch","","Inland","","","","CH","","20.04.2015","","","",""
"2297","Microspot.ch","7","","","","031 853 53 53","0.00","","support@microspot.ch","CHE-116.311.185 MWST","Moosstrasse 23","3302","Moosseedorf","","Inland","143295762","0124630335","","","","16.02.2010","","","",""
"","","","","","","","","","","","","","","","","142908530","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","0124630335","","","","","","","",""
"","","","","","","","","","","","","","","","","","0124706543","","","","","","","",""
"","","","","","","","","","","","","","","","","","0124872786","","","","","","","",""
"381136","Migrol","102","","","","","0.00","","","","","","Zürich","","Inland","","","","","","27.04.2023","","Nein","Ja",""
"28321","MIGROS Genossenschaft Zürich","1381","","","","","0.00","","","","","","","","Inland","","","","","","16.12.2016","","","",""
"436352","Migros Pensionskasse MPK","136","","","","","0.00","","","","","","","","Inland","","","","","","24.05.2025","","Nein","Ja",""
"402598","MIGROS ZÜRICH CITY","3252","","","","","0.00","","","","","","Zürich","","Inland","","","","","","21.02.2024","","Nein","Ja",""
"19440","Mike Testet Kivi 2","1058","","","","","0.00","","","","Dietzingerstrasse 14","8003","Zürich","","Inland","","11","","Schweiz","","21.08.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"23900","mikew2002","1228","","","","","0.00","","","","","","","","Inland","","","","Kanada","","01.04.2016","","","",""
"","","","","","","","","","","","","","","","","1069504223010","","","","","","","","",""
"35199","MissXiaoMo Store","Store No.1228758","","","","","0.00","","","","","","","","Inland","","","","China","","25.01.2018","","","",""
"35201","MissXiaoMo Store","1228758","","","","","0.00","","","","","","","","Inland","","505237890621093","","China","","25.01.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","505237890621093","","","","","","","","",""
"16973","NEST","998","","","","","0.00","","","","","","","","Inland","","","","","","07.04.2015","","","",""
"41792","notebook-equipments","79","","","","","0.00","","","","","","","","Inland","","1547651436014","","Deutschland","","22.06.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","15476514360","","","","","","","","",""
"27018","notebooksoutlet","41","","","","","0.00","","","","","","","","Inland","","","","","","01.11.2016","","","",""
"","","","","","","","","","","","","","","","","","18","","","","","","","",""
"18494","notebook spares","1032","","","","+44 0208 848 4445","0.00","","info@technologyvs.co.uk","","9 North Hyde Road","UB3 4NJ","Hayes, Middlesex","","Inland","4RK372824Y777884F","7","","United Kingdom","","29.06.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","7","","","","","","","",""
"388308","öbu - Der Verband für nachhaltiges Wirtschaften","3124","","","","","0.00","","","","","","Zürich","","Inland","","","","","","15.08.2023","","Nein","Ja",""
"17168","Online-Shopping","1008","","","","","0.00","","","","","","","","Inland","","","","","","14.04.2015","","","",""
"24691","Orell Füssli","1249","","","","","0.00","","","","","","","","Inland","9783836237116","","","","","06.06.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"29768","Pan'shop","48","","","","","0.00","","","","","","Guangdong","","Inland","","","","","","09.03.2017","","","",""
"","","","","","","","","","","","","","","","","501815588441093","","","","","","","","",""
"","","","","","","","","","","","","","","","","501815588441093","","","","","","","","",""
"30907","Parts-People.com, Inc.","52","","","","512-339-1990 / 866-816-5254","0.00","","info@parts-people.com","","2929 Longhorn Blvd, Suite #101","78758-7514","Austin, Texas","","Inland","512864","26","","United States of America","","22.05.2017","","","",""
"","","","","","","","","","","","","","","","","","26","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"23882","Paypal Pte. Ltd.","1223","","","","00353 1 436 90 81","0.00","","","","5 Temasek Boulevard, #09-01 Suntec Tower Five","038985","Singapore","","Inland","","","","Singapore","","31.03.2016","","","",""
"7378","PC Engines GmbH","15","Pascal Dornier","","","043 321 21 79","0.00","","orders@pcengines.ch","CH555610","Flughofstr. 58","8152","Glattbrugg","","Inland","w40893","","","Schweiz","","18.01.2013","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"26017","PC Nanny Studio","38","","","","","0.00","","","","Wuhe Ave","518000","Shenzhen Guangdong","","Inland","","","","China","","06.09.2016","","","",""
"","","","","","","","","","","","","","","","","78173129461093","","","","","","","","",""
"23861","Pearson VUE","1220","","","","","0.00","","","","5601 Green Valley Drive","MN 55437-1099","Bloomington","","Inland","800-511-3478","","","USA","","31.03.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","800-511-3478","","","","","","","","",""
"60229","Pentagon Infotech","92","","","","","0.00","","","","Bahnhostrasse 9","71679","Asperg","","Inland","E2019-0384","48","","DE","","10.09.2019","","Nein","Ja",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","48","","","","","","","",""
"22903","Pkcell","31","","","","","0.00","","","","","","","","Inland","","","","","","10.02.2016","","","",""
"383734","Planzer AG","126","","","","","0.00","","","","","","Zürich","","Inland","","","","","","05.06.2023","","Nein","Ja",""
"15296","Post CH AG","927","","Postverzollung","","0848 639 639","0.00","","","","","8010","Zürich-Mülligen","","Inland","9787646183","","","","","24.12.2014","","","",""
"","","","","","","","","","","","","","","","","-","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","3005294012","","","","","","","","",""
"2278","Postfinance","3","","","","","0.00","","","","","","Bern","","Inland","","","","","","16.02.2010","","","",""
"34543","power4laptops","1592","","","","","0.00","","","","","","","","Inland","","","","UK","","12.01.2018","","","",""
"","","","","","","","","","","","","","","","","82U538005N930812X","","","","","","","","",""
"387370","Privatklinik Wyss AG","3106","","","","","0.00","","","","Münchenbuchse","","","","Inland","","","","","","27.07.2023","","Nein","Ja",""
"2303","Publifon","8","","","","","0.00","","","","","","","","Inland","","","","","","16.02.2010","","","",""
"17539","Pusterla AG","1017","","","","","0.00","","","","","8004","Zürich","","Inland","","","","","","28.04.2015","","","",""
"","","","","","","","","","","","","","","","","7558B000","","","","","","","","",""
"","","","","","","","","","","","","","","","","6292B000, 6206B000","","","","","","","","",""
"17756","QTC spares","1028","","","","","0.00","","owner@qtcspares.co.uk","","","","","","Inland","","","","","","11.05.2015","","","",""
"17741","raminselectronicandcomputers","1026","","","","","0.00","","itcomponentsrus@googlemail.com","","","","","","Inland","","","","Grossbritannien","","11.05.2015","","","",""
"35806","RC laptop NO.3 Store","66","","","","","0.00","","","","","","Guangdong","","Inland","89596613941093","","","China","","08.02.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"17746","Recycle-IT","1027","Ruth Kapadia","","","","0.00","","","","76 Somerset Road","","Bristol BS4 2HY UK","","Inland","","","","Grossbritannien","","11.05.2015","","","",""
"41181","Reichelt Elektronik GmbH & Co. KG","76","","","","0049 4422 955 333","0.00","","","","Elektronikring 1","26452","Sande","","Inland","","","","D","","15.06.2018","","","",""
"","","","","","","","","","","","","","","","","","I-719695","","","","","","","",""
"383089","René Dräyer Schreinerei","117","","","","","0.00","","","","","4853","Ryken AG","","Inland","","","","","","29.05.2023","","Nein","Ja",""
"23874","Require IT Ltd.","1221","","","","","0.00","","itcellar@googlemail.com","","12A Sterling Complex, Farthing Road Ind. Est","IP1 5AP","Ipswich, Suffolk","","Inland","","","","Grossbritannien","","31.03.2016","","","",""
"","","","","","","","","","","","","","","","","307725328018","","","","","","","","",""
"383202","RESTAURANT DAPIZI","118","","","","","0.00","","","","","","Zürich","","Inland","","","","","","30.05.2023","","Nein","Ja",""
"32048","Restaurant Makiman","1524","","","","","0.00","","","","Sterntorbrücke","53111","Bonn","","Inland","","","","D","","16.08.2017","","","",""
"383667","Restaurant St Gallerhof","123","","","","","0.00","","","","","","Zürich","","Inland","","","","","","05.06.2023","","Nein","Ja",""
"383086","Ricardo","116","","","","","0.00","","","","","","","","Inland","","","","","","29.05.2023","","Nein","Ja",""
"31968","Richardson & Büren","1519","","","","","0.00","","","","Weiherstr. 33a","53111","Bonn","","Inland","","","","D","","16.08.2017","","","",""
"24075","rnrcomputer","35","","","","","0.00","","","","","","","","Inland","0FX56938YC026542H","","","USA","","13.04.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"18556","Robin Cerny","19","","","","","0.00","","","","Röschibachstrasse 24/26","8037","Zürich","","Inland","","","","Schweiz","","06.07.2015","","","",""
"","","","","","","","","","","","","","","","","","8","","","","","","","",""
"","","","","","","","","","","","","","","","","L1213","","","","","","","","",""
"61866","Sai Kit Yeung","95","","","","","0.00","","","","","","","","Inland","","","","","","24.10.2019","","Nein","Ja",""
"381251","San Gennaro GmbH","106","","","","","0.00","","","","Hönggerstr. 43","8037","Zürich","","Inland","","","","","","28.04.2023","","Nein","Ja",""
"16911","Sarl Orient Phone","992","","","","","0.00","","","","01 Rue Vacon","13001","Marseille","","Inland","","","","Frankreich","","25.03.2015","","","",""
"16970","S. AUFFANGEIN. BVG RATE","997","","","","","0.00","","","","","8070","ZÜRICH","","Inland","","","","CH","","07.04.2015","","","",""
"17050","SBB","1003","","","","","0.00","","","","","","","","Inland","","","","CH","","10.04.2015","","Nein","Ja",""
"","","","","","","","","","","","","","","","","0080 30081 07030851","","","","","","","","",""
"","","","","","","","","","","","","","","","","00802925624021346, 25705331725021535","","","","","","","","",""
"","","","","","","","","","","","","","","","","253 296699 08030923","","","","","","","","",""
"","","","","","","","","","","","","","","","","296 226202 17051356","","","","","","","","",""
"","","","","","","","","","","","","","","","","05001670324110736","","","","","","","","",""
"","","","","","","","","","","","","","","","","0500 23875 04030743","","","","","","","","",""
"58962","sb-electronics GmbH","91","","","","","0.00","","","","","","","","Inland","","","","","","12.08.2019","","Nein","Ja",""
"32042","Schliesstechnik ZH GmbH","1522","","","","","0.00","","","","Morgartenstr. 11","8004","Zürich","","Inland","","","","","","16.08.2017","","","",""
"30382","Schmidt Jan","49","","","","079 848 92 05","0.00","","jbschmidt@bluewin.ch","","Segnesstrasse 8","8048","Zürich","","Inland","RE201702","","","Schweiz","","13.04.2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"42371","ScreenCountry Inc","80","","","","1-888-702-6910","0.00","","http://www.ScreenCountry.com/email/","","","3062","Beta Ave, Burnaby, BC, V5G4K4","","Inland","","","","","","04.07.2018","","","",""
"","","","","","","","","","","","","","","","","R1530698663","","","","","","","","",""
"","","","","","","","","","","","","","","","","","B1530698663","","","","","","","",""
"17727","screen-shop.net","1023","","","","+49 9342 / 93 47 000","0.00","","info@screen-shop.net","","Bismarckstr. 16","97877","Wertheim","","Inland","","","","Deutschland","","11.05.2015","","","",""
"27510","SDV Systeme","43","","","","0512120638040","0.00","","info@sdv-elektronik.de","","Wallstraße 20","31134","Hildesheim","","Inland","1GK85703BP020541H","20","","Deutschland","","21.11.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","20","","","","","","","",""
"43623","Shell","83","","","","","0.00","","","","","5436","Würenlos","","Inland","","","","Schweiz","","19.07.2018","","","",""
"43621","Shell","82","","","","","0.00","","","","","5436","Würenlos","","Inland","","","","Schweiz","","19.07.2018","","","",""
"43623","Shell","83","","","","","0.00","","","","","5436","Würenlos","","Inland","92387046284195","","","Schweiz","","19.07.2018","","","",""
"22892","SHENZHEN PKCELL BATTERY CO. LTD","1178","","","","0086-746-8331678","0.00","","pkcell@pkcell.net","","E2 Building,Guangming Technology Park,No.24 Zhonghua Road, Longhua New Area","","Shenzhen","","Inland","69088956691093","","","China","","10.02.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"60481","Shop-Nr.1940031","93","aliexpress","","","","0.00","","","","shenzhen","518000","Guangdong","","Inland","8001838245841093","49","","China","","12.09.2019","","Nein","Ja",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","49","","","","","","","",""
"32558","Sili Gal","57","","","","","0.00","","","","Badenerstrasse 60","8952","Schlieren","","Inland","","","","","","19.09.2017","","","",""
"","","","","","","","","","","","","","","","","","33","","","","","","","",""
"","","","","","","","","","","","","","","","","","34","","","","","","","",""
"23971","Small Battery Company","34","","","","020 8871 3730","0.00","","sales@smallbattery.company.org.uk","","Cromford Road 70","SW18 INY","London","","Inland","","14","","UK","","06.04.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","WPACC14915241 4400161874","","","","","","","","",""
"23895","S.O.S. Smart Office Systems GmbH","1225","Dorothea Garcia Praena","","","0049 40 41 62 76 76","0.00","","info@sos-hh.de","","Billstrasse 117","20539","Hamburg","","Inland","1439289391015","","","","","01.04.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"383072","Stadtammann- und Betreibungsamt Zürich","114","","","","","0.00","","","","","","Zürich","","Inland","","","","","","29.05.2023","","Nein","Ja",""
"27303","Stauffer Max","42","","","","0041795083634","0.00","","max.stauffer@gmail.com","","Neuwiesenstrasse 5","8610","Uster","","Inland","802284273","32","","Schweiz","","14.11.2016","","","",""
"","","","","","","","","","","","","","","","","","32","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"381232","Steueramt Kanton Zürich","104","","","","","0.00","","","","","8090","Zürich","","Inland","","","","","","28.04.2023","","Nein","Ja",""
"437853","Steven Sibold","3548","","","","","0.00","","steven.sibold@proton.me","","Ekkehardstrasse 24","8006","Zürich","","Inland","","","","Schwiz","","29.08.2025","","Nein","Ja",""
"16944","STIFTUNG HOLZ UND KORB","995","","","","044 515 21 46","0.00","044 515 21 47","","","ZEUGHAUSSTR. 60","8004","ZÜRICH","","Inland","","","","CH","","07.04.2015","","","",""
"37486","Store No.1628729","71","","","","","0.00","","","","","","Guangdong","","Inland","505643384401093","","","China","","19.03.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"33530","Store No.408057","61","Aliexpress","","","","0.00","","","","","","Guangdong","","Inland","","","","China","","13.11.2017","","","",""
"","","","","","","","","","","","","","","","","","504468161781093","","","","","","","",""
"","","","","","","","","","","","","","","","","504468161781093","","","","","","","","",""
"41416","Subtel GmbH","77","","","","044 5830 881","0.00","","info@subtel.ch","","Mainzer Str. 3","10247","Berlin","","Inland","","","","D","","19.06.2018","","","",""
"","","","","","","","","","","","","","","","","SCH1235339","","","","","","","","",""
"34657","S-u-p-e-r Laptop parts Store","65","Aliexpress","","","","0.00","","","","","","","","Inland","","","","","","15.01.2018","","","",""
"","","","","","","","","","","","","","","","","505244718201093","","","","","","","","",""
"","","","","","","","","","","","","","","","","","38","","","","","","","",""
"408864","Suricate Solutions","134","","","","026 508 55 92","0.00","","claude.barras@suricate.ch","","Route d'Illens 12","1728","Rossens FR","","Inland","","","4","","","23.04.2024","","Nein","Ja",""
"","","","","","","","","","","","","","","","","","","6","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","5","","","","","","",""
"2090","SVA Zürich","010","","Ausgleichskasse","","044 448 50 00","0.00","044 448 55 55","","","Röntgenstrasse 17","8087","Zürich","","Inland","","","","","","16.09.2009","","","",""
"2082","SWICO","006","","","","044 445 38 10","0.00","044 445 38 02","","","TTechnoparkstrasse 1","8005","Zürich","","Inland","","","","","","16.09.2009","","","",""
"2273","Swisscom (Schweiz) AG, Bern","2","","Customer Care","Contact Center","","0.00","","","","","3050","Bern","","Inland","","","","","","16.02.2010","","","",""
"18773","SWISSOPENSYSTEMUSERGROUP","20","","","","","0.00","","","","","","","","Inland","","","","","","15.07.2015","","","",""
"17243","Swissparts AG","1009","","","","056 616 72 11","0.00","0848 847 465","","","Bahnhofstrasse 66","5605","Dottikon","","Inland","","WS1900159","","CH","","15.04.2015","","","",""
"","","","","","","","","","","","","","","","","","36","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","WS1802298","","","","","","","","",""
"16994","SWISS POST SOLUTIONS AG","1000","","","","044 220 80 11","0.00","","","","Pfingstweidstrasse 60B","8005","Zürich","","Inland","","","","CH","","08.04.2015","","","",""
"16036","Swiss Projector Lamps","946","","","","","0.00","","Sales@SwissProjectorLamps.ch","","Hillcrest, Stoney Lane","RG18 9HQ","Thatcham, Berkshire","","Inland","","","","Grossbritannien","","10.02.2015","","","",""
"","","","","","","","","","","","","","","","","","#2000000221","","","","","","","",""
"19562","Swiss Tonerrecycling Ltd.","1073","","","","071 695 37 70","0.00","","info@swiss-toner-recycling.ch","","Waldhof 10","8585","Langrickenbach","","Inland","","8286","","","","25.08.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"17735","Switch","1024","","","","","0.00","","","","","","","","Inland","","","","","","11.05.2015","","","",""
"43612","Switchplus","81","","","","848 69 69 69","0.00","","helpdesk@switchplus.ch","","Postfach 2172","8021","Zürich","","Inland","","","","Schweiz","","19.07.2018","","","",""
"","","","","","","","","","","","","","","","","60667698","","","","","","","","",""
"18666","SZ MacShop008 Electronic Technology Co., Ltd","1033","","","","","0.00","","","","Caitian Road, Futian, Shenzhen","518000","Guangdong","","Außerhalb EU","67745533711093","9","","China","","08.07.2015","","","",""
"","","","","","","","","","","","","","","","","","9","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"36065","Tasha trade company Ltd-laptop spare parts","68","","","","","0.00","","","","","","Guangdong","","Inland","505359289361093","39","","China","","12.02.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","39","","","","","","","",""
"382176","Tauschen an Fluss","110","","","","","0.00","","","","","8037","Zürich","","Inland","","","","","","09.05.2023","","Nein","Ja",""
"31924","TDC Components GmbH","1518","","","","+49-(0)8251-8883-0","0.00","","andreas@tdcomponents.com","","Flurstr. 65","86551","Aichach","","Inland","528473","","","D","","16.08.2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"2086","Tech Data (Schweiz) GmbH","008","","","","041 799 10 00","0.00","041 799 10 25","","","Birkenstrasse 47","6343","Rotkreuz","","Inland","","","","","","16.09.2009","","","",""
"27779","Techmania AG","1354","","","","0800 20 20 50","0.00","","admin@techmania.ch","","Industriestr. 8","8625","Gossau / ZH","","Inland","","","","","","26.11.2016","","","",""
"","","","","","","","","","","","","","","","","","760019","","","","","","","",""
"","","","","","","","","","","","","","","","","760019","","","","","","","","",""
"18279","Tobler Electronic AG","1031","","","","044 949 22 11","0.00","044 949 22 99","tobler@tobler.ch","","Isenrietstrasse 7","8617","Mönchaltdorf","","Inland","","4","","","","09.06.2015","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","707640/174","","","","","","","","",""
"20246","TonerPartner International AG","27","","","","","0.00","","","","Wylstrasse 9A","6052","","","Inland","","13","","Schweiz","","07.10.2015","","","",""
"","","","","","","","","","","","","","","","","","TCH8587923","","","","","","","",""
"","","","","","","","","","","","","","","","","TCH426164","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"22879","Topstar Technology Co. Ltd.","29","","","","","0.00","","","","","","","","Inland","68293506381093","","","China","","10.02.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"22933","Trade Shop","1179","","","","0049 551 7079645","0.00","","info@trade-shop-online.de","","Rischenweg 25","37124","Rosdorf","","Inland","","","","","","10.02.2016","","","",""
"","","","","","","","","","","","","","","","","1578547","","","","","","","","",""
"382163","Trägerverein Reparaturzentrum Zürich","107","","","","","0.00","","","","","","Zürich","","Inland","","","","","","09.05.2023","","Nein","Ja",""
"25047","tridee777us","37","","","","","0.00","","","","","","","","Inland","1670696448017","","","","","04.07.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"434286","United Domains AG","135","","","","","0.00","","","","","","","","Inland","","","","","","21.01.2025","","Nein","Ja",""
"2285","Utilis Occasions-Computer GmbH","4","","","","","0.00","","","","","","","","Inland","","","","","","16.02.2010","","","",""
"394671","VBZ","130","","","","","0.00","","","","","","Zürich","","Inland","","","","","","16.10.2023","","Nein","Ja",""
"32045","Weber & Widmer AG","1523","","","","","0.00","","","","Birmensdorferstr. 127","8003","Zürich","","Inland","","","","","","16.08.2017","","","",""
"22944","Widget Factory Limited","32","","","","0044 442081445244","0.00","","sales@widgetfactorylimited.co.uk","","Castlewood House, 77/91 New Oxford Street","WC1A 1DG","London","","Inland","","","","Grossbritannien","","11.02.2016","","","",""
"","","","","","","","","","","","","","","","","42H404334R991084J","","","","","","","","",""
"31378","www.nbkit.com","53","","","","+86 075536949249","0.00","","nbkitcom@hotmail.com","","","","","","Inland","","","","","","28.06.2017","","","",""
"2078","Wyscha Computer","004","","","","056 460 61 61","0.00","056 460 61 60","info@wyscha.ch","","Wildischachenstrasse","5200","Brugg","","Inland","","","","","","16.09.2009","","","",""
"36618","Xamtau IT","69","stauffer@live.de","","","","0.00","","","","Neuwiesenstrasse 5","8610","Uster","","Inland","Storno zu 5001","40","","Schweiz","","26.02.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","40","","","","","","","",""
"","","","","","","","","","","","","","","","","5001","","","","","","","","",""
"40533","Xim-Lisa Store","74","","Store No.2678206","","","0.00","","","","","","","","Inland","","","","China","","04.06.2018","","","",""
"","","","","","","","","","","","","","","","","506029441491093","","","","","","","","",""
"61815","XINYU TANG","94","","","","","0.00","","","","","","","","Inland","","","","","","24.10.2019","","Nein","Ja",""
"22780","XT-Tec Ltd.","28","","","","","0.00","","order@akkuskaufen.com","","Huaqiang Road, Huaqiang dasha 7110","518000","Futian, Shenzhen Guangdong","","Inland","389259","","","China","","07.02.2016","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"40830","YouPuWei technology Co.,LTD","75","","Store No.1872740","","","0.00","","","","","","","","Inland","506139999151093","","","China","","07.06.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"58956","Zand Group AB","89","","","","","0.00","","order@zandparts.com","","","","","","Inland","","","","","","12.08.2019","","Nein","Ja",""
"27746","Zhang Hao","1352","","","","0769-87380081, Mobile: 08615625835646","0.00","","","","","523000","DongGuan Guan Cheng district","","Inland","","21","","China","","26.11.2016","","","",""
"","","","","","","","","","","","","","","","","1333590603014","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"61885","Zhang Zheng Li","97","","","","","0.00","","ebay@laptopbatteriesstore.com","","","","","","Inland","","","","","","24.10.2019","","Nein","Ja",""
"29228","Zhao Yurong","45","赵玉容(cindy0898@163.com)","","","","0.00","","cindy0898@163.com","","","","","","Inland","","","","China","","10.02.2017","","","",""
"","","","","","","","","","","","","","","","","","24","","","","","","","",""
"35254","Zimmermann Viola","1613","","","","078 600 60 52","0.00","","v@viola.ch","","Badenerstr. 177","8003","Zürich","","Inland","956169416","","","","","25.01.2018","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"19503","ZVV","1070","","","","","0.00","","","","","8000","Zürich","","Inland","0225-05252-20080831","","","","","24.08.2015","","","",""
"","","","","","","","","","","","","","","","","00802370710120907, 25303212611121147","","","","","","","","",""
"","","","","","","","","","","","","","","","","02250805826100853","","","","","","","","",""
"","","","","","","","","","","","","","","","","0500 34769 08080738","","","","","","","","",""
"","","","","","","","","","","","","","","","","0106 49570 27090747","","","","","","","","",""
"","","","","","","","","","","","","","","","","0500 67658 15120838","","","","","","","","",""
"","","","","","","","","","","","","","","","","21071828,21103696","","","","","","","","",""
"","","","","","","","","","","","","","","","","285 166457 11081154","","","","","","","","",""
"","","","","","","","","","","","","","","","","295 442330 01020752","","","","","","","","",""
"","","","","","","","","","","","","","","","","319 524970 25080804","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"388817","Zweigniederlassung Zürich","3126","","","","","0.00","","","","Pelikanplatz 15","8001","Zürich","","Inland","","","","","","22.08.2023","","Nein","Ja",""
