"Lager","Lagerplatz","Artikelnummer","Typ","Artikelbeschreibung","Chargennummer","Menge","Einheit","Listenpreis","EK-Preis","Preisfaktor","Bestandswert","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"B-379","SATA-0007","002699","W","Western Digital Caviar SE WD3200AAJS-41VWA1","","4","Stck","0.00","0.00","","0.00","","WesternDigital","146","102","26","","","","","","","",""
"B-379","SCSI-0001","002718","W","IBM DORS-32160_2.1GB","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","190","120","25","","","","","","","",""
"B-379","SATA-0008","002725","W","Samsung HD501J","","4","Stck","0.00","0.00","","0.00","","Samsung","146","100","25","","","","","","","",""
"B-379","SATA-0006","002726","W","Western Digital Caviar Blue WD5000AAKS-007AB0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0006","002728","W","Western Digital Caviar SE WD5000AAKX-00YGA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0005","002729","W","Dell WD5003ABYX-18WERA0","","1","Stck","0.00","0.00","","0.00","","Dell","145","101","25","","","","","","","",""
"B-379","SATA-0008","002737","W","Seagate Barracuda ES ST3500630NS","","2","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0006","002774","W","Hitachi Deskstar HDP725050GLA360 500GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","146","101","26","","","","","","","",""
"B-379","SATA-0009","002774","W","Hitachi Deskstar HDP725050GLA360 500GB","","7","Stck","0.00","0.00","","0.00","","Hitachi","146","101","26","","","","","","","",""
"B-379","SATA-0002","002779","W","Samsung HD161HJ/D","","1","Stck","0.00","0.00","","0.00","","Samsung","145","102","0","","","","","","","",""
"B-379","SATA-0002","002787","W","Samsung SP1614C","","1","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","SATA-0001","002794","W","Seagate Barracuda 7200.7 ST3160828AS","","1","Stck","0.00","0.00","","0.00","","Seagate","146","101.5","26","","","","","","","",""
"B-379","SATA-0005","002794","W","Seagate Barracuda 7200.7 ST3160828AS","","1","Stck","0.00","0.00","","0.00","","Seagate","146","101.5","26","","","","","","","",""
"B-379","SATA-0001","002802","W","Western Digital Caviar WD1600AAJS-75B4A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","101.5","26","","","","","","","",""
"B-379","SATA-0005","002802","W","Western Digital Caviar WD1600AAJS-75B4A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","101.5","26","","","","","","","",""
"B-379","SATA-0002","002911","W","Western Digital WD1600JS-00NCB1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","101.5","26","","","","","","","",""
"B-379","SCSI-0003","003002","W","IBM Ultrastar 2ES DCAS-34330 09J1035","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","147","102","26","","","","","","","",""
"B-379","SATA-0008","003014","W","Samsung Spinpoint HD503HI","","13","Stck","0.00","0.00","","0.00","","Samsung","145","102","26","","","","","","","",""
"B-379","SATA-0006","003581","W","WD WD5000AAKX - 75U6AA0 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","105","0","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","003583","W","HP DLT VS160-Bandlaufwerk","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","260","140","35","","","","","","","",""
"B-379","SATA-0008","004159","W","WD HHD-500GB-64MB cache-WD5000AZRX","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","004162","W","Toshiba Satellite L500D","","1","Stck","0.00","0.00","","0.00","","Toshiba","430","384","34","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","004164","W","HP Omen","","4","Stck","0.00","0.00","","0.00","","HP / Compaq","253","382","24.5","","","","","","","",""
"B-379","IDE-0006","004165","W","Quantum Fireball EX","","1","Stck","0.00","0.00","","0.00","","Quantum","14.5000","10.2000","2.4000","","","","","","","",""
"B-379","IDE-0008","004165","W","Quantum Fireball EX","","1","Stck","0.00","0.00","","0.00","","Quantum","14.5000","10.2000","2.4000","","","","","","","",""
"B-379","SATA-0009","004166","W","Seagate Constellation ES","","1","Stck","0.00","0.00","","0.00","","Seagate","146","102","26","","","","","","","",""
"B-379","IDE-0004","004167","W","Western Digital Caviar SE WD2000JB-00GVA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0004","004168","W","Seagate Barracuda ATA V _ST3120023A_120GB","","1","Stck","0.00","0.00","","0.00","","Seagate","146","102","24","","","","","","","",""
"B-379","IDE-0004","004169","W","Samsung SpinPoint,SP1604N_160GB","","1","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","IDE-0003","004170","W","Western Digital WD3200sb_01kma0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0003","004171","W","Hitachi Deskstar HDP725025VLAT80","","1","Stck","0.00","0.00","","0.00","","Hitachi","0","0","0","","","","","","","",""
"B-379","IDE-0003","004172","W","HITACHI Deskstar HDT722525DLAT80","","1","Stck","0.00","0.00","","0.00","","Hitachi","0","0","0","","","","","","","",""
"B-379","IDE-0002","004175","W","IBM Deskstar ic35l020aver07_0","","1","Stck","0.00","0.00","","0.00","","","0","0","0","","","","","","","",""
"B-379","IDE-0002","004176","W","IBM DJNA_352030","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","146","102","0","","","","","","","",""
"B-379","IDE-0006","004178","W","Quantum Fireball 2 GB","","1","Stck","0.00","0.00","","0.00","","Quantum","146","102","0","","","","","","","",""
"B-379","IDE-0006","004179","W","IBM DHEA-36481","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","146","102","0","","","","","","","",""
"B-379","IDE-0006","004180","W","Seagate ST36421A","","1","Stck","0.00","0.00","","0.00","","Seagate","147","102","26","","","","","","","",""
"B-379","IDE-0001","004181","W","Maxtor 30768H1","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","26","","","","","","","",""
"B-379","IDE-0006","004183","W","Quantum SE 4GB","","2","Stck","0.00","0.00","","0.00","","Quantum","146","102","0","","","","","","","",""
"B-379","IDE-0006","004184","W","Maxtor 83240D4","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","0","","","","","","","",""
"B-379","SCSI-0001","004186","W","Quantum Fireball 1.2GB","","2","Stck","0.00","0.00","","0.00","","Quantum","146","102","0","","","","","","","",""
"B-379","SCSI-0001","004187","W","Quantum Prodrive LPS 425MB","","2","Stck","0.00","0.00","","0.00","","Quantum","146","102","0","","","","","","","",""
"B-379","IDE-0006","004188","W","Quantum Fireball 3GB","","1","Stck","0.00","0.00","","0.00","","Quantum","146","102","0","","","","","","","",""
"B-379","IDE-0006","004189","W","Conner CFP1080s","","1","Stck","0.00","0.00","","0.00","","Conner","146","102","0","disableit","","","","","","",""
"B-379","SCSI-0001","004189","W","Conner CFP1080s","","1","Stck","0.00","0.00","","0.00","","Conner","146","102","0","disableit","","","","","","",""
"B-379","IDE-0006","004190","W","Samsung VG34323A","","1","Stck","0.00","0.00","","0.00","","Samsung","146","102","0","","","","","","","",""
"B-379","IDE-0006","004191","W","Maxtor 82560D3","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","0","","","","","","","",""
"B-379","IDE-0006","004192","W","Maxtor 90432D3","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","0","","","","","","","",""
"B-379","IDE-0002","004193","W","MAXTOR 92041U4","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","26","","","","","","","",""
"B-379","IDE-0006","004194","W","Maxtor 7850AV","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","0","","","","","","","",""
"B-379","IDE-0006","004195","W","Maxtor 7540AV","","1","Stck","0.00","0.00","","0.00","","Maxtor","146","102","25","","","","","","","",""
"B-379","SATA-0005","004196","W","Western Digital Raptor WD740ADFD","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","102","0","","","","","","","",""
"B-379","SATA-0005","004197","W","HITACHI HDT722516DLA380 164GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","146","102","0","","","","","","","",""
"B-379","IDE-0006","004199","W","Seagate Medalist 6531 ST36531A","","1","Stck","0.00","0.00","","0.00","","Seagate","146","102","0","","","","","","","",""
"B-379","IDE-0006","004202","W","Western Digital Cavir 23200 AC23200_60LC_3.2GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0006","004203","W","Maxtor 7345at 345MB","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0006","004205","W","Quantum Fireball PLUS LM_","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","IDE-0006","004206","W","Quantum 1280AT_1280MB","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","IDE-0006","004209","W","Quantum Fireball LA13A011_13GB","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","SCSI-0001","004216","W","IBM-H3171-S2","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","145","102","0","","","","","","","",""
"B-379","IDE-0004","004217","W","Quantum LM30A011_30GB","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","SCSI-0001","004218","W","Quantum Prodrive_512MB","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"B-379","SCSI-0001","004220","W","Quantum Prodrive Firmware_250MB","","1","Stck","0.00","0.00","","0.00","","Quantum","0","0","0","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","004271","W","Asante, MINI EN/SC","","1","Stck","0.00","0.00","","0.00","","Asanté","135","76","28","","","","","","","",""
"B-379","IDE-0002","004326","W","Samsung SP6003H, 60GB","","1","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","IDE-0002","004327","W","Maxtor DiamondMax Plus 8","","1","Stck","0.00","0.00","","0.00","","Maxtor","147","102","17","","","","","","","",""
"B-379","IDE-0001","004328","W","Maxtor DiamondMax Plus 8, 40GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0002","004329","W","Seagate, ST3802110A","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0008","004329","W","Seagate, ST3802110A","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0008","004330","W","Maxtor, D540X-4K","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0004","004331","W","Maxtor, D740X-6L, 80GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0008","004331","W","Maxtor, D740X-6L, 80GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0004","004332","W","Maxtor, 4G160J8, 160GB","","2","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0004","004333","W","Western Digital Caviar WD1200JB-75CRA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0004","004334","W","Western Digital Caviar WD1200BB-18CAA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","IDE-0004","004335","W","Maxtor Diamonmax plaus 9, 6Y120L0132011","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0004","004336","W","Hitachi, deskstar HDS722512VLAT80, 123.5GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","146","102","24","","","","","","","",""
"B-379","IDE-0002","004337","W","Western Digital WD600JB-00CRA1, 60GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0003","004338","W","Seagate ST3300831A, 300GB","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0003","004339","W","Western Digital WD3200JB-00KFA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0005","004430","W","Western Digital Caviar WD1600AAJS-75PSA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0001","004431","W","Seagate ST3160811AS","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0005","004432","W","Western Digital WD1600JS-00MHB1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0002","004434","W","Seagate ST360012A","","1","Stck","0.00","0.00","","0.00","","Seagate","150","100","0","","","","","","","",""
"B-379","IDE-0008","004435","W","Seagate ST3280012A, 80GB","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0006","004436","W","Fujistu MPA3035AT","","1","Stck","0.00","0.00","","0.00","","Fujitsu / Fujitsu-Siemens / Siemens","0","0","0","","","","","","","",""
"B-379","SATA-0006","004440","W","Western Digital, WD5000AAKS-00UU3A0, 500GB","","2","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0004","004500","W","WD2500AAJS-60M0A1, 250GB","","4","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0005","004503","W","Seagate ST3500830As 500GB","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0006","004503","W","Seagate ST3500830As 500GB","","2","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","SATA-0003","004506","W","WD5002ABYS-02B1B0, 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0001","004509","W","WD5001AALS-00E3A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0006","004509","W","WD5001AALS-00E3A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0003","004511","W","Samsung HD501LJ 500GB","","3","Stck","0.00","0.00","","0.00","","Samsung","150","100","0","","","","","","","",""
"B-379","SATA-0006","004511","W","Samsung HD501LJ 500GB","","4","Stck","0.00","0.00","","0.00","","Samsung","150","100","0","","","","","","","",""
"B-379","SATA-0006","004512","W","Seagate ST3500820AS","","1","Stck","0.00","0.00","","0.00","","Seagate","0","0","0","","","","","","","",""
"B-379","IDE-0009","004513","W","Maxtor HP P6078-69001, 20GB","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","SATA-0007","004515","W","Western Digital WD3200AAKS-00L9A0","","2","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0002","004516","W","Western Digital WD3200AAKS-75L9A0","","4","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0007","004516","W","Western Digital WD3200AAKS-75L9A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0001","004545","W","WesternDigital WD400BB-75FJA1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","25","","","","","","","",""
"B-379","IDE-0001","004548","W","WesternDigital WD400EB-00CPF0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","102","25","","","","","","","",""
"B-379","IDE-0002","004554","W","WesternDigital WD400AB-32BVA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0001","004558","W","WesternDigital WD400BB-75JHC0, 40GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","IDE-0001","004560","W","ExcelStor J240 Io","","1","Stck","0.00","0.00","","0.00","","ExcelStor","147","102","25","","","","","","","",""
"B-379","IDE-0001","004561","W","Samsung SP4002H","","1","Stck","0.00","0.00","","0.00","","Samsung","0","0","0","","","","","","","",""
"B-379","IDE-0002","004565","W","Maxtor D740X-6L, 60GB,","","1","Stck","0.00","0.00","","0.00","","Maxtor","0","0","0","","","","","","","",""
"B-379","IDE-0002","004568","W","IBM Deskstar DTLA-307030, 30.7 GB","","1","Stck","0.00","0.00","","0.00","","Lenovo / IBM","0","0","0","","","","","","","",""
"B-379","IDE-0004","004583","W","Western Digital Caviar WD2000BB-00FTA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","147","102","26","","","","","","","",""
"B-379","SATA-0001","004647","W","Western Digital WD1600AAJS07M0A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","23","","","","","","","",""
"B-379","SATA-0005","004647","W","Western Digital WD1600AAJS07M0A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","23","","","","","","","",""
"B-379","SATA-0007","004651","W","Samsung HD321KJ, 320GB","","1","Stck","0.00","0.00","","0.00","","Samsung","145","100","25","","","","","","","",""
"B-379","SATA-0002","004652","W","Samsung HD322GJ 320GB","","1","Stck","0.00","0.00","","0.00","","Samsung","145","100","25","","","","","","","",""
"B-379","SATA-0006","004653","W","Hitachi Deskstar HDP725032GLA360","","3","Stck","0.00","0.00","","0.00","","Hitachi","145","100","25","","","","","","","",""
"B-379","IDE-0002","004674","W","ExcelStor J340 Europa","","1","Stck","0.00","0.00","","0.00","","ExcelStor","145","100","25","","","","","","","",""
"B-379","SATA-0002","004742","W","WesternDigital WD2500AAJS-07M0A0","","2","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","20","","","","","","","",""
"B-379","SATA-0004","004742","W","WesternDigital WD2500AAJS-07M0A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","20","","","","","","","",""
"B-379","SATA-0001","004748","W","Hitachi HDT721050SLAA360, 500GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","145","100","25","","","","","","","",""
"B-379","SATA-0006","004748","W","Hitachi HDT721050SLAA360, 500GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","145","100","25","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","004759","W","Lacie, Extern HDD 3.5, 500GB, SATA","","1","Stck","0.00","0.00","","0.00","","LaCie","190","110","40","","","","","","","",""
"B-379","SATA-0004","004761","W","WesternDigital WD2500JD-40HBC0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0002","004767","W","Seagate ST3320820AS","","2","Stck","0.00","0.00","","0.00","","Seagate","145","100","25","","","","","","","",""
"B-379","SATA-0007","004767","W","Seagate ST3320820AS","","1","Stck","0.00","0.00","","0.00","","Seagate","145","100","25","","","","","","","",""
"B-379","SATA-0004","004835","W","WesternDigital WD2500AAKS-00L9A0, 250GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","20","","","","","","","",""
"Lagerplatz für falsch zugewiesene, aber eingelagerte Artikel","Lagerplatz1","004930","W","Diamond Monster 3D II 3DFX PCI 8MB","","1","Stck","0.00","0.00","","0.00","","Diamond","220","130","20","disableit","","","","","","",""
"B-379","SATA-0004","005005","W","Seagate ST3320418AS 320GB","","4","Stck","0.00","0.00","","0.00","","Seagate","145","100","25","","","","","","","",""
"B-379","IDE-0005","005031","W","Western Digital WD800BB-22HEA1 80GB","","15","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","25","","","","","","","",""
"B-379","IDE-0005","005032","W","Western Digital Caviar WD800BB-60JKA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0005","005033","W","Western Digital Caviar WD800BB-32FJA0","","2","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0005","005034","W","Western Digital Caviar WD800BB-00JHA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0005","005035","W","Western Digital Caviar WD800BB-75CAA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0005","005036","W","Western Digital Caviar WD800BB-00CRA1","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0005","005037","W","Western Digital Caviar WD800jB-00ETA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0005","005045","W","WD800AAJ8-00P8A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0005","005131","W","Netgear GS608 v3","","1","Stck","0.00","0.00","","0.00","","NETGEAR","115","175","30","","","","","","","",""
"B-379","SATA-0005","005181","W","Samsung HD160JJ/P","","1","Stck","0.00","0.00","","0.00","","Samsung","145","102","27","","","","","","","",""
"B-379","SATA-0001","005367","W","WesternDigital WD5003ABYX-01WERA0 500GB","","3","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0001","005368","W","WesternDigital WD5003ABYX-01WERA1 500GB","","2","Stck","0.00","0.00","","0.00","","WesternDigital","150","105","25","","","","","","","",""
"B-379","SATA-0002","005368","W","WesternDigital WD5003ABYX-01WERA1 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","105","25","","","","","","","",""
"B-379","SATA-0002","005369","W","WesternDigital WD2502ABYS-02B7A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0002","005370","W","Hitachi / IBM HDT725025VLA380","","4","Stck","0.00","0.00","","0.00","","Lenovo / IBM","145","100","25","","","","","","","",""
"B-379","SATA-0005","005371","W","Seagate ST3120026AS, 120GB","","2","Stck","0.00","0.00","","0.00","","Seagate","145","100","25","","","","","","","",""
"B-379","SCSI-0002","005428","W","HP BD0728856A 72,8GB","","1","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SCSI-0003","005428","W","HP BD0728856A 72,8GB","","3","Stck","0.00","0.00","","0.00","","HP / Compaq","0","0","0","","","","","","","",""
"B-379","SATA-0001","005460","W","WD5000AAKS-65V0A0, 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","0","0","0","","","","","","","",""
"B-379","SATA-0001","005461","W","WD5003AZEX-00K1GA0, 500GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0002","005462","W","WesternDigital WD1601ABYS-01C0A0 160GB","","2","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0006","005465","W","Hitachi Deskstar IC35L060AVV207-0, 40GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","146","102","24","","","","","","","",""
"B-379","IDE-0006","005466","W","Barracuda ATA V ST360015A 60GB","","1","Stck","0.00","0.00","","0.00","","Seagate","146","102","24","","","","","","","",""
"B-379","IDE-0006","005467","W","Western Digital Caviar WD1600AAJB - 22WRA0 160GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","102","24","","","","","","","",""
"B-379","IDE-0006","005468","W","WD1600JB-00REA0 160GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","102","24","","","","","","","",""
"B-379","IDE-0006","005747","W","Western Digital Caviar WDAC2635-00F","","1","Stck","0.00","0.00","","0.00","","WesternDigital","146","102","24","","","","","","","",""
"B-379","IDE-0006","005752","W","FUJITSU MPC3043AT 4,3GB","","1","Stck","0.00","0.00","","0.00","","Fujitsu / Fujitsu-Siemens / Siemens","146","102","24","","","","","","","",""
"B-379","IDE-0006","005753","W","Quantum Lightning Pro Drive 350MB","","1","Stck","0.00","0.00","","0.00","","Quantum","146","102","24","","","","","","","",""
"B-379","IDE-0006","005754","W","Quantum ProDrive LPS 270MB","","1","Stck","0.00","0.00","","0.00","","Quantum","146","102","24","","","","","","","",""
"B-379","IDE-0004","005755","W","Samsung SP1203N (120GB)","","1","Stck","0.00","0.00","","0.00","","Samsung","150","100","30","","","","","","","",""
"B-379","SATA-0004","005767","W","Seagate ST250DM000 250GB","","3","Stck","0.00","0.00","","0.00","","Seagate","147","102","26","","","","","","","",""
"B-379","SATA-0001","005774","W","Hitachi HDS722516VLSA80, 164.7 GB","","1","Stck","0.00","0.00","","0.00","","Hitachi","145","102","25","","","","","","","",""
"B-379","SATA-0005","005774","W","Hitachi HDS722516VLSA80, 164.7 GB","","2","Stck","0.00","0.00","","0.00","","Hitachi","145","102","25","","","","","","","",""
"B-379","SATA-0004","005776","W","HITACHI Deskstar HDS7225SBSUN250G.7200","","3","Stck","0.00","0.00","","0.00","","Sun","147","102","26","","","","","","","",""
"B-379","SATA-0004","005777","W","Western Digital WD2500AAJS-60M0A0 250GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","20","","","","","","","",""
"B-379","SATA-0001","005778","W","WesternDigital WD2500JD-00HBB0 250GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0004","005778","W","WesternDigital WD2500JD-00HBB0 250GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0003","005781","W","TOSHIBA DT01ACA050","","4","Stck","0.00","0.00","","0.00","","Toshiba","150","190","25","","","","","","","",""
"B-379","SATA-0002","005782","W","WD3200YS-01PGB0","","4","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","SATA-0003","005782","W","WD3200YS-01PGB0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","100","25","","","","","","","",""
"B-379","IDE-0008","005810","W","WD800BB-22JHA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","100","25","","","","","","","",""
"B-379","SATA-0004","005811","W","Seagate ST320DM000 320GB","","1","Stck","0.00","0.00","","0.00","","Seagate","150","120","25","","","","","","","",""
"B-379","SATA-0007","005811","W","Seagate ST320DM000 320GB","","3","Stck","0.00","0.00","","0.00","","Seagate","150","120","25","","","","","","","",""
"B-379","SATA-0002","005814","W","Western Digital WD2500AAKX-75U6AA0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","120","25","","","","","","","",""
"B-379","SATA-0001","005820","W","Western Digital WD1600AAJS-07PSA0 160GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","102","23","","","","","","","",""
"B-379","SATA-0002","005820","W","Western Digital WD1600AAJS-07PSA0 160GB","","1","Stck","0.00","0.00","","0.00","","WesternDigital","145","102","23","","","","","","","",""
"B-379","IDE-0001","005841","W","WD5000AAKB-00H8A0","","1","Stck","0.00","0.00","","0.00","","WesternDigital","150","120","25","","","","","","","",""
"B-379","IDE-0001","005842","W","Seagate 9T6001-001","","1","Stck","0.00","0.00","","0.00","","","150","120","25","","","","","","","",""
